"","municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"2620","Muelas del Pan","low_cost",1.399,1.399,1.399,NA,NA,NA
"2621","Mugardos","low_cost",1.339,1.339,1.339,NA,NA,NA
"2622","Mula","low_cost",1.319,1.21,1.276,NA,NA,NA
"2623","Mula","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"2624","Muñana","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"2625","Mundaka","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"2626","Munébrega","low_cost",1.36,1.36,1.36,NA,NA,NA
"2627","Munera","low_cost",1.319,1.259,1.289,NA,NA,NA
"2628","Mungia","low_cost",1.429,1.268,1.3328,NA,NA,NA
"2629","Mungia","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"2630","Muñico","low_cost",1.399,1.399,1.399,NA,NA,NA
"2631","Muniesa","low_cost",NA,NA,NA,NA,NA,NA
"2632","Muñogrande","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2633","Murchante","low_cost",1.369,1.369,1.369,NA,NA,NA
"2634","Murcia","low_cost",NA,NA,NA,NA,NA,NA
"2635","Murcia","no_low_cost",1.409,1.269,1.36548,NA,NA,NA
"2636","Murillo de Río Leza","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2637","Muro","low_cost",1.429,1.429,1.429,NA,NA,NA
"2638","Muro","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"2639","Muro de Alcoy","low_cost",1.309,1.309,1.309,NA,NA,NA
"2640","Muro de Alcoy","no_low_cost",1.395,1.389,1.393,1.589,1.579,1.58233333333333
"2641","Muros","no_low_cost",1.429,1.379,1.39566666666667,NA,NA,NA
"2642","Muros de Nalón","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2643","Museros","low_cost",NA,NA,NA,NA,NA,NA
"2644","Museros","no_low_cost",1.369,1.369,1.369,1.539,1.539,1.539
"2645","Mutriku","low_cost",1.379,1.379,1.379,NA,NA,NA
"2646","Mutxamel","low_cost",1.389,1.389,1.389,NA,NA,NA
"2647","Mutxamel","no_low_cost",1.395,1.379,1.3895,NA,NA,NA
"2648","Muxía","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2649","Muxika","low_cost",1.279,1.279,1.279,NA,NA,NA
"2650","Nacimiento","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2651","Nájera","low_cost",1.378,1.378,1.378,NA,NA,NA
"2652","Nalda","low_cost",1.409,1.409,1.409,NA,NA,NA
"2653","Náquera","low_cost",1.259,1.259,1.259,NA,NA,NA
"2654","Náquera","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2655","Narón","low_cost",1.399,1.249,1.34,NA,NA,NA
"2656","Narón","no_low_cost",1.419,1.369,1.39566666666667,NA,NA,NA
"2657","Naut Aran","low_cost",1.411,1.411,1.411,NA,NA,NA
"2658","Nava","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"2659","Nava (La)","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2660","Nava de la Asunción","low_cost",1.299,1.299,1.299,NA,NA,NA
"2661","Nava de la Asunción","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2662","Nava de Ricomalillo (La)","low_cost",1.419,1.291,1.355,NA,NA,NA
"2663","Nava de Santiago (La)","low_cost",1.224,1.224,1.224,NA,NA,NA
"2664","Nava del Rey","low_cost",NA,NA,NA,NA,NA,NA
"2665","Navacerrada","no_low_cost",1.429,1.429,1.429,1.614,1.614,1.614
"2666","Navahermosa","low_cost",1.244,1.244,1.244,NA,NA,NA
"2667","Navahermosa","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"2668","Navalcán","low_cost",1.329,1.329,1.329,NA,NA,NA
"2669","Navalcarnero","low_cost",1.309,1.295,1.301,NA,NA,NA
"2670","Navalcarnero","no_low_cost",1.449,1.409,1.439,NA,NA,NA
"2671","Navalmanzano","low_cost",NA,NA,NA,NA,NA,NA
"2672","Navalmoral de la Mata","low_cost",1.365,1.269,1.3082,NA,NA,NA
"2673","Navalmoral de la Mata","no_low_cost",1.439,1.309,1.3865,NA,NA,NA
"2674","Navalmorales (Los)","low_cost",1.409,1.256,1.3325,NA,NA,NA
"2675","Navalucillos (Los)","low_cost",1.235,1.235,1.235,NA,NA,NA
"2676","Navaluenga","low_cost",1.339,1.329,1.334,NA,NA,NA
"2677","Navalvillar de Pela","low_cost",1.25,1.039,1.17966666666667,NA,NA,NA
"2678","Navalvillar de Pela","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2679","Navarredonda de Gredos","low_cost",1.379,1.379,1.379,NA,NA,NA
"2680","Navarrés","low_cost",1.339,1.339,1.339,NA,NA,NA
"2681","Navarrete","no_low_cost",1.399,1.399,1.399,1.579,1.579,1.579
"2682","Navàs","low_cost",1.399,1.399,1.399,NA,NA,NA
"2683","Navas de la Concepción (Las)","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2684","Navas de San Antonio","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2685","Navas de San Juan","low_cost",1.26,1.26,1.26,NA,NA,NA
"2686","Navas de San Juan","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2687","Navas del Marqués (Las)","no_low_cost",1.449,1.449,1.449,NA,NA,NA
"2688","Navas del Rey","no_low_cost",1.414,1.414,1.414,NA,NA,NA
"2689","Navia","low_cost",1.409,1.325,1.36966666666667,NA,NA,NA
"2690","Navia","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2691","Neda","low_cost",1.409,1.409,1.409,NA,NA,NA
"2692","Neda","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"2693","Negreira","no_low_cost",1.469,1.469,1.469,NA,NA,NA
"2694","Nerja","low_cost",1.359,1.299,1.329,NA,NA,NA
"2695","Nerja","no_low_cost",1.389,1.378,1.3835,NA,NA,NA
"2696","Nerpio","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2697","Nerva","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2698","Nevada","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"2699","Neves (As)","low_cost",1.399,1.399,1.399,NA,NA,NA
"2700","Niebla","no_low_cost",1.399,1.389,1.394,NA,NA,NA
"2701","Nigrán","no_low_cost",1.439,1.429,1.434,NA,NA,NA
"2702","Nigüelas","low_cost",1.298,1.298,1.298,NA,NA,NA
"2703","Níjar","low_cost",NA,NA,NA,NA,NA,NA
"2704","Níjar","no_low_cost",1.409,1.359,1.384,NA,NA,NA
"2705","Noáin (Valle de Elorz)/Noain (Elortzibar)","low_cost",1.409,1.28,1.32933333333333,NA,NA,NA
"2706","Noáin (Valle de Elorz)/Noain (Elortzibar)","no_low_cost",1.439,1.399,1.411,NA,NA,NA
"2707","Noalejo","low_cost",1.359,1.218,1.2885,NA,NA,NA
"2708","Noblejas","low_cost",1.319,1.259,1.289,NA,NA,NA
"2709","Noblejas","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"2710","Nogais (As)","low_cost",1.439,1.439,1.439,NA,NA,NA
"2711","Nogueira de Ramuín","low_cost",1.407,1.407,1.407,NA,NA,NA
"2712","Noia","low_cost",1.338,1.329,1.3335,NA,NA,NA
"2713","Noia","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"2714","Nonaspe","low_cost",1.26,1.26,1.26,NA,NA,NA
"2715","Noreña","low_cost",NA,NA,NA,NA,NA,NA
"2716","Noreña","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2717","Novallas","low_cost",1.269,1.269,1.269,NA,NA,NA
"2718","Novelda","low_cost",1.389,1.279,1.334,NA,NA,NA
"2719","Novelda","no_low_cost",1.419,1.389,1.399,NA,NA,NA
"2720","Novelé/Novetlè","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2721","Nucia (la)","low_cost",1.429,1.267,1.348,NA,NA,NA
"2722","Nucia (la)","no_low_cost",1.429,1.379,1.404,NA,NA,NA
"2723","Nueno","no_low_cost",1.388,1.388,1.388,1.558,1.558,1.558
"2724","Nueva Carteya","low_cost",1.329,1.249,1.289,NA,NA,NA
"2725","Nueva Carteya","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2726","Nuévalos","low_cost",1.369,1.369,1.369,NA,NA,NA
"2727","Nuevo Baztán","no_low_cost",1.452,1.452,1.452,NA,NA,NA
"2728","Nules","low_cost",1.369,1.259,1.329,NA,NA,NA
"2729","Nules","no_low_cost",1.379,1.349,1.359,NA,NA,NA
"2730","Numancia de la Sagra","low_cost",1.339,1.339,1.339,NA,NA,NA
"2731","Numancia de la Sagra","no_low_cost",1.459,1.429,1.449,NA,NA,NA
"2732","Nuñomoral","low_cost",1.389,1.389,1.389,NA,NA,NA
"2733","Obejo","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2734","Ocaña","low_cost",1.349,1.279,1.309,NA,NA,NA
"2735","Ocaña","no_low_cost",1.415,1.349,1.382,NA,NA,NA
"2736","Òdena","low_cost",1.399,1.186,1.2925,NA,NA,NA
"2737","Òdena","no_low_cost",1.199,1.199,1.199,NA,NA,NA
"2738","Odón","low_cost",NA,NA,NA,NA,NA,NA
"2739","Ogíjares","low_cost",1.389,1.255,1.2968,NA,NA,NA
"2740","Ogíjares","no_low_cost",1.379,1.369,1.374,NA,NA,NA
"2741","Oia","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2742","Oiartzun","low_cost",1.429,1.32,1.39216666666667,NA,NA,NA
"2743","Oiartzun","no_low_cost",1.459,1.449,1.453,NA,NA,NA
"2744","Ojén","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2745","Ojos Negros","low_cost",NA,NA,NA,NA,NA,NA
"2746","Olaberria","low_cost",1.439,1.429,1.434,NA,NA,NA
"2747","Olazti/Olazagutía","low_cost",1.439,1.439,1.439,NA,NA,NA
"2748","Oleiros","low_cost",1.419,1.419,1.419,NA,NA,NA
"2749","Oleiros","no_low_cost",1.425,1.368,1.39816666666667,NA,NA,NA
"2750","Olèrdola","low_cost",1.389,1.339,1.3526,NA,NA,NA
"2751","Olesa de Montserrat","low_cost",1.309,1.309,1.309,NA,NA,NA
"2752","Olesa de Montserrat","no_low_cost",1.389,1.349,1.369,NA,NA,NA
"2753","Oliana","low_cost",1.209,1.209,1.209,NA,NA,NA
"2754","Olías del Rey","no_low_cost",1.449,1.429,1.44233333333333,NA,NA,NA
"2755","Olite","low_cost",NA,NA,NA,NA,NA,NA
"2756","Olius","low_cost",1.167,1.167,1.167,NA,NA,NA
"2757","Oliva","low_cost",1.298,1.259,1.2785,NA,NA,NA
"2758","Oliva","no_low_cost",1.369,1.349,1.359,NA,NA,NA
"2759","Oliva (La)","low_cost",1.159,1.143,1.152,NA,NA,NA
"2760","Oliva de la Frontera","low_cost",1.419,1.35,1.3845,NA,NA,NA
"2761","Oliva de la Frontera","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2762","Oliva de Mérida","low_cost",1.379,1.379,1.379,NA,NA,NA
"2763","Olivares","low_cost",1.279,1.269,1.27566666666667,NA,NA,NA
"2764","Olivenza","low_cost",1.309,1.309,1.309,NA,NA,NA
"2765","Olivenza","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"2766","Olleria (l')","low_cost",NA,NA,NA,NA,NA,NA
"2767","Olleria (l')","no_low_cost",1.385,1.359,1.372,NA,NA,NA
"2768","Olmedillo de Roa","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2769","Olmedo","low_cost",1.329,1.329,1.329,NA,NA,NA
"2770","Olmedo","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2771","Olocau","low_cost",1.279,1.279,1.279,NA,NA,NA
"2772","Olost","low_cost",1.399,1.399,1.399,NA,NA,NA
"2773","Olot","low_cost",1.405,1.298,1.33671428571429,NA,NA,NA
"2774","Olot","no_low_cost",1.425,1.399,1.4095,NA,NA,NA
"2775","Olula del Río","low_cost",1.269,1.269,1.269,NA,NA,NA
"2776","Ólvega","low_cost",1.252,1.252,1.252,NA,NA,NA
"2777","Olvera","low_cost",1.339,1.255,1.297,NA,NA,NA
"2778","Olvera","no_low_cost",1.424,1.424,1.424,NA,NA,NA
"2779","Olza","low_cost",1.419,1.419,1.419,NA,NA,NA
"2780","Oña","low_cost",1.369,1.369,1.369,NA,NA,NA
"2781","Oñati","low_cost",1.429,1.429,1.429,NA,NA,NA
"2782","Oñati","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"2783","Onda","low_cost",1.369,1.197,1.27425,NA,NA,NA
"2784","Onda","no_low_cost",1.389,1.349,1.3715,NA,NA,NA
"2785","Ondara","low_cost",1.369,1.369,1.369,NA,NA,NA
"2786","Ondara","no_low_cost",1.405,1.405,1.405,NA,NA,NA
"2787","Onil","low_cost",1.369,1.369,1.369,NA,NA,NA
"2788","Onil","no_low_cost",1.418,1.338,1.378,NA,NA,NA
"2789","Ontígola","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"2790","Ontiñena","low_cost",1.245,1.245,1.245,NA,NA,NA
"2791","Ontinyent","low_cost",1.296,1.198,1.2218,NA,NA,NA
"2792","Ontinyent","no_low_cost",1.379,1.354,1.3665,NA,NA,NA
"2793","Ontur","low_cost",1.24,1.24,1.24,NA,NA,NA
"2794","Ontur","no_low_cost",1.369,1.369,1.369,1.509,1.509,1.509
"2795","Onzonilla","low_cost",1.429,1.279,1.354,NA,NA,NA
"2796","Oquillas","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"2797","Orba","low_cost",1.379,1.379,1.379,NA,NA,NA
"2798","Orbita","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"2799","Orce","low_cost",1.279,1.279,1.279,NA,NA,NA
"2800","Orcera","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2801","Orcoyen","low_cost",NA,NA,NA,NA,NA,NA
"2802","Ordes","low_cost",1.449,1.365,1.39433333333333,NA,NA,NA
"2803","Ordes","no_low_cost",1.439,1.395,1.42433333333333,NA,NA,NA
"2804","Ordizia","low_cost",1.389,1.389,1.389,NA,NA,NA
"2805","Orellana la Vieja","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"2806","Organyà","low_cost",1.395,1.395,1.395,NA,NA,NA
"2807","Orgaz","low_cost",1.289,1.289,1.289,NA,NA,NA
"2808","Orgaz","no_low_cost",1.399,1.399,1.399,1.589,1.589,1.589
"2809","Órgiva","low_cost",1.369,1.369,1.369,NA,NA,NA
"2810","Órgiva","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"2811","Oria","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"2812","Orihuela","low_cost",1.429,1.217,1.32344444444444,NA,NA,NA
"2813","Orihuela","no_low_cost",1.419,1.379,1.3999,NA,NA,NA
"2814","Orihuela del Tremedal","low_cost",1.339,1.339,1.339,NA,NA,NA
"2815","Oronz","low_cost",1.409,1.409,1.409,NA,NA,NA
"2816","Oropesa","no_low_cost",1.449,1.379,1.414,NA,NA,NA
"2817","Oropesa del Mar/Orpesa","low_cost",1.369,1.369,1.369,NA,NA,NA
"2818","Oropesa del Mar/Orpesa","no_low_cost",1.349,1.349,1.349,NA,NA,NA
"2819","Oroso","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"2820","Orotava (La)","low_cost",1.109,1.059,1.08333333333333,NA,NA,NA
"2821","Orotava (La)","no_low_cost",1.108,1.049,1.0785,NA,NA,NA
"2822","Orozko","low_cost",1.449,1.449,1.449,NA,NA,NA
"2823","Orrios","low_cost",NA,NA,NA,NA,NA,NA
"2824","Ortigueira","low_cost",1.355,1.335,1.345,NA,NA,NA
"2825","Ortigueira","no_low_cost",1.375,1.375,1.375,NA,NA,NA
"2826","Ortuella","low_cost",1.459,1.277,1.368,NA,NA,NA
"2827","Orusco de Tajuña","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2828","Osorno la Mayor","low_cost",NA,NA,NA,NA,NA,NA
"2829","Osorno la Mayor","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2830","Ossa de Montiel","no_low_cost",1.379,1.379,1.379,1.499,1.499,1.499
"2831","Osso de Cinca","low_cost",1.359,1.359,1.359,NA,NA,NA
"2832","Osuna","low_cost",1.339,1.319,1.329,NA,NA,NA
"2833","Osuna","no_low_cost",1.399,1.279,1.3665,NA,NA,NA
"2834","Oteiza","low_cost",NA,NA,NA,NA,NA,NA
"2835","Otero","no_low_cost",1.449,1.449,1.449,1.619,1.619,1.619
"2836","Otero de Bodas","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2837","Otos","low_cost",1.26,1.26,1.26,NA,NA,NA
"2838","Otura","low_cost",1.399,1.275,1.337,NA,NA,NA
"2839","Otxandio","low_cost",1.419,1.419,1.419,NA,NA,NA
"2840","Ourense","low_cost",1.379,1.359,1.369,NA,NA,NA
"2841","Ourense","no_low_cost",1.419,1.389,1.403,NA,NA,NA
"2842","Outeiro de Rei","low_cost",1.409,1.349,1.379,NA,NA,NA
"2843","Outeiro de Rei","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"2844","Outes","no_low_cost",1.359,1.359,1.359,1.589,1.589,1.589
"2845","Oviedo","low_cost",1.419,1.212,1.32,NA,NA,NA
"2846","Oviedo","no_low_cost",1.419,1.379,1.40766666666667,NA,NA,NA
"2847","Oyón/Oion","low_cost",1.389,1.389,1.389,NA,NA,NA
"2848","Oza dos Ríos","low_cost",1.299,1.299,1.299,NA,NA,NA
"2849","Oza dos Ríos","no_low_cost",1.399,1.359,1.379,NA,NA,NA
"2850","Pacs del Penedès","no_low_cost",1.425,1.425,1.425,1.664,1.664,1.664
"2851","Paderne","low_cost",1.26,1.26,1.26,NA,NA,NA
"2852","Padrenda","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2853","Padrón","low_cost",1.359,1.359,1.359,NA,NA,NA
"2854","Padrón","no_low_cost",1.469,1.385,1.438,NA,NA,NA
"2855","Padul","low_cost",1.369,1.369,1.369,NA,NA,NA
"2856","Padul","no_low_cost",1.395,1.395,1.395,1.589,1.589,1.589
"2857","Paiporta","low_cost",NA,NA,NA,NA,NA,NA
"2858","Paiporta","no_low_cost",1.369,1.329,1.349,NA,NA,NA
"2859","Pájara","low_cost",1.251,1.186,1.22933333333333,NA,NA,NA
"2860","Pájara","no_low_cost",1.251,1.251,1.251,NA,NA,NA
"2861","Palacios de Goda","no_low_cost",1.404,1.404,1.404,NA,NA,NA
"2862","Palacios de la Sierra","low_cost",1.289,1.289,1.289,NA,NA,NA
"2863","Palacios y Villafranca (Los)","low_cost",1.32,1.299,1.3095,NA,NA,NA
"2864","Palacios y Villafranca (Los)","no_low_cost",1.399,1.359,1.377,NA,NA,NA
"2865","Palafolls","low_cost",1.279,1.259,1.269,NA,NA,NA
"2866","Palafolls","no_low_cost",1.449,1.279,1.39233333333333,NA,NA,NA
"2867","Palafrugell","low_cost",1.386,1.191,1.25,NA,NA,NA
"2868","Palafrugell","no_low_cost",1.399,1.379,1.389,NA,NA,NA
"2869","Palamós","low_cost",1.279,1.279,1.279,NA,NA,NA
"2870","Palamós","no_low_cost",1.399,1.389,1.394,NA,NA,NA
"2871","Palau d'Anglesola (El)","low_cost",1.212,1.212,1.212,NA,NA,NA
"2872","Palau-solità i Plegamans","low_cost",NA,NA,NA,NA,NA,NA
"2873","Palau-solità i Plegamans","no_low_cost",1.449,1.449,1.449,NA,NA,NA
"2874","Palazuelos de Eresma","low_cost",1.389,1.389,1.389,NA,NA,NA
"2875","Palencia","low_cost",1.399,1.249,1.33585714285714,NA,NA,NA
"2876","Palencia","no_low_cost",1.419,1.389,1.40233333333333,NA,NA,NA
"2877","Palenciana","no_low_cost",1.29,1.29,1.29,NA,NA,NA
"2878","Pallejà","no_low_cost",1.425,1.419,1.423,NA,NA,NA
"2879","Palma de Cervelló (La)","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"2880","Palma de Gandía","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"2881","Palma de Mallorca","low_cost",NA,NA,NA,NA,NA,NA
"2882","Palma de Mallorca","no_low_cost",1.459,1.369,1.43480952380952,NA,NA,NA
"2883","Palma del Condado (La)","low_cost",1.389,1.389,1.389,NA,NA,NA
"2884","Palma del Condado (La)","no_low_cost",1.399,1.389,1.394,NA,NA,NA
"2885","Palma del Río","low_cost",1.295,1.263,1.279,NA,NA,NA
"2886","Palma del Río","no_low_cost",1.415,1.339,1.3882,NA,NA,NA
"2887","Palmas de Gran Canaria (Las)","low_cost",1.124,0.977,1.09428571428571,NA,NA,NA
"2888","Palmas de Gran Canaria (Las)","no_low_cost",1.115,1.084,1.09472727272727,NA,NA,NA
"2889","Palol de Revardit","low_cost",1.289,1.289,1.289,NA,NA,NA
"2890","Palol de Revardit","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"2891","Palomares del Campo","low_cost",1.211,1.211,1.211,NA,NA,NA
"2892","Palomares del Río","low_cost",1.347,1.289,1.318,NA,NA,NA
"2893","Palomares del Río","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2894","Palomero","low_cost",1.28,1.28,1.28,NA,NA,NA
"2895","Palos de la Frontera","low_cost",1.389,1.248,1.31125,NA,NA,NA
"2896","Palos de la Frontera","no_low_cost",1.389,1.365,1.381,NA,NA,NA
"2897","Pampaneira","low_cost",1.345,1.345,1.345,NA,NA,NA
"2898","Pamplona/Iruña","low_cost",1.429,1.255,1.33725,NA,NA,NA
"2899","Pamplona/Iruña","no_low_cost",1.429,1.389,1.409,NA,NA,NA
"2900","Pancrudo","low_cost",NA,NA,NA,NA,NA,NA
"2901","Pantoja","no_low_cost",1.449,1.449,1.449,NA,NA,NA
"2902","Pantón","low_cost",1.439,1.439,1.439,NA,NA,NA
"2903","Papiol (El)","low_cost",1.449,1.449,1.449,NA,NA,NA
"2904","Paracuellos de Jarama","no_low_cost",1.469,1.449,1.46233333333333,NA,NA,NA
"2905","Paradas","low_cost",1.305,1.288,1.2965,NA,NA,NA
"2906","Paradas","no_low_cost",1.399,1.339,1.379,NA,NA,NA
"2907","Paradela","low_cost",1.36,1.36,1.36,NA,NA,NA
"2908","Paradela","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"2909","Páramo del Sil","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"2910","Parauta","low_cost",1.379,1.379,1.379,NA,NA,NA
"2911","Pardilla","no_low_cost",1.399,1.399,1.399,1.614,1.614,1.614
"2912","Paredes de Nava","low_cost",1.299,1.299,1.299,NA,NA,NA
"2913","Paredes de Nava","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2914","Parets del Vallès","low_cost",1.369,1.186,1.2775,NA,NA,NA
"2915","Parets del Vallès","no_low_cost",1.449,1.409,1.42766666666667,NA,NA,NA
"2916","Parla","low_cost",NA,NA,NA,NA,NA,NA
"2917","Parla","no_low_cost",1.439,1.349,1.403,NA,NA,NA
"2918","Pasarón de la Vera","low_cost",1.249,1.249,1.249,NA,NA,NA
"2919","Paso (El)","low_cost",1.204,1.204,1.204,NA,NA,NA
"2920","Paso (El)","no_low_cost",1.204,1.204,1.204,NA,NA,NA
"2921","Pastoriza (A)","low_cost",1.309,1.309,1.309,NA,NA,NA
"2922","Pastoriza (A)","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"2923","Pastrana","low_cost",1.379,1.379,1.379,NA,NA,NA
"2924","Paterna","low_cost",1.389,1.216,1.2845,NA,NA,NA
"2925","Paterna","no_low_cost",1.389,1.359,1.38042857142857,NA,NA,NA
"2926","Paterna de Rivera","no_low_cost",1.409,1.409,1.409,1.619,1.619,1.619
"2927","Paterna del Campo","low_cost",1.389,1.27,1.30966666666667,NA,NA,NA
"2928","Pau","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"2929","Paymogo","low_cost",1.339,1.339,1.339,NA,NA,NA
"2930","Pazos de Borbén","low_cost",1.409,1.409,1.409,NA,NA,NA
"2931","Peal de Becerro","low_cost",1.218,1.218,1.218,NA,NA,NA
"2932","Peal de Becerro","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"2933","Pedernoso (El)","low_cost",1.27,1.27,1.27,NA,NA,NA
"2934","Pedernoso (El)","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2935","Pedrafita do Cebreiro","no_low_cost",1.415,1.415,1.415,NA,NA,NA
"2936","Pedraja de Portillo (La)","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2937","Pedrajas de San Esteban","low_cost",1.296,1.296,1.296,NA,NA,NA
"2938","Pedralba","low_cost",1.369,1.369,1.369,NA,NA,NA
"2939","Pedreguer","low_cost",1.349,1.349,1.349,NA,NA,NA
"2940","Pedreguer","no_low_cost",1.439,1.399,1.419,NA,NA,NA
"2941","Pedrera","low_cost",1.25,1.25,1.25,NA,NA,NA
"2942","Pedrera","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"2943","Pedret i Marzà","low_cost",1.359,1.359,1.359,NA,NA,NA
"2944","Pedro Abad","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2945","Pedro Bernardo","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"2946","Pedro Muñoz","low_cost",1.369,1.29,1.3295,NA,NA,NA
"2947","Pedro Muñoz","no_low_cost",1.399,1.395,1.397,NA,NA,NA
"2948","Pedroche","low_cost",1.278,1.278,1.278,NA,NA,NA
"2949","Pedrola","low_cost",1.41,1.319,1.36175,NA,NA,NA
"2950","Pedrola","no_low_cost",1.389,1.385,1.38633333333333,NA,NA,NA
"2951","Pedroñeras (Las)","low_cost",1.319,1.253,1.286,NA,NA,NA
"2952","Pedroñeras (Las)","no_low_cost",1.409,1.409,1.409,1.579,1.579,1.579
"2953","Pedrosa del Rey","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"2954","Pedrosillo el Ralo","no_low_cost",1.395,1.395,1.395,1.574,1.574,1.574
"2955","Pedroso (El)","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"2956","Pegalajar","low_cost",1.34,1.34,1.34,NA,NA,NA
"2957","Pego","low_cost",1.339,1.308,1.32533333333333,NA,NA,NA
"2958","Pego","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"2959","Pelayos de la Presa","low_cost",1.445,1.445,1.445,NA,NA,NA
"2960","Peligros","low_cost",1.299,1.255,1.27433333333333,NA,NA,NA
"2961","Peligros","no_low_cost",1.399,1.369,1.38233333333333,NA,NA,NA
"2962","Peñafiel","low_cost",1.339,1.279,1.309,NA,NA,NA
"2963","Peñafiel","no_low_cost",1.375,1.365,1.37,NA,NA,NA
"2964","Peñaflor","low_cost",1.349,1.349,1.349,NA,NA,NA
"2965","Peñaflor","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2966","Penagos","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"2967","Peñalba","low_cost",1.202,1.202,1.202,NA,NA,NA
"2968","Peñalba","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"2969","Peñalsordo","low_cost",1.299,1.299,1.299,NA,NA,NA
"2970","Peñamellera Baja","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"2971","Peñaranda de Bracamonte","low_cost",1.267,1.264,1.2655,NA,NA,NA
"2972","Peñarroya de Tastavins","low_cost",1.204,1.204,1.204,NA,NA,NA
"2973","Peñarroya-Pueblonuevo","low_cost",1.319,1.277,1.298,NA,NA,NA
"2974","Peñarroya-Pueblonuevo","no_low_cost",1.379,1.329,1.354,NA,NA,NA
"2975","Peñas de San Pedro","low_cost",1.349,1.349,1.349,NA,NA,NA
"2976","Peñíscola","low_cost",1.203,1.194,1.1985,NA,NA,NA
"2977","Peñíscola","no_low_cost",1.375,1.375,1.375,NA,NA,NA
